problem,is_nonlinear,algorithm,n_features,fidelity_vs_llm,accuracy_vs_true,seed
A_B_C_lineares,False,perceptron,3,0.6733333333333333,,42
A_B_C_lineares,False,perceptron,4,0.86,,42
homem_mulher,True,perceptron,2,0.3142857142857143,0.5571428571428572,42
homem_mulher,True,nnls,2,0.6,0.12857142857142856,42
homem_mulher,True,perceptron,3,0.3142857142857143,0.5571428571428572,42
homem_mulher,True,nnls,3,0.5285714285714286,0.4,42
homem_mulher,True,perceptron,4,0.7714285714285715,0.35714285714285715,42
homem_mulher,True,nnls,4,0.7571428571428571,0.4,42
homem_mulher,True,perceptron,2,0.5571428571428572,0.9142857142857143,42
homem_mulher,True,nnls,2,0.5142857142857142,0.8714285714285714,42
homem_mulher,True,perceptron,3,0.5428571428571428,0.9,42
homem_mulher,True,nnls,3,0.6428571428571429,0.8285714285714286,42
homem_mulher,True,perceptron,4,0.6285714285714286,0.8142857142857143,42
homem_mulher,True,nnls,4,0.6857142857142857,0.7,42
meia_lua_seed42,True,perceptron,2,0.7142857142857143,0.4857142857142857,42
meia_lua_seed42,True,nnls,2,0.6857142857142857,0.5714285714285714,42
meia_lua_seed42,True,perceptron,3,0.6857142857142857,0.5714285714285714,42
meia_lua_seed42,True,nnls,3,0.8285714285714286,0.5428571428571428,42
meia_lua_seed42,True,perceptron,4,0.7523809523809524,0.580952380952381,42
meia_lua_seed42,True,nnls,4,0.7619047619047619,0.5904761904761905,42
