seed,n_features,algorithm,fidelidade,w0,w1,w2,w3
42,3,perceptron,0.82,0.025915644918717562,0.7118025119283103,0.300086449606819,
42,3,nnls,0.8266666666666667,0.03529752448308422,0.15266774432914784,0.02538560917382624,
123,3,perceptron,0.74,0.0,0.697221156255152,0.0,
123,3,nnls,0.8533333333333334,0.0450027449442563,0.1463206744604411,0.01600807504221087,
7,3,perceptron,0.7266666666666667,0.5599361650103722,0.324500950686088,0.0,
7,3,nnls,0.8733333333333333,0.03535066379152074,0.1406879088642478,0.014137184572214013,
42,4,perceptron,0.78,0.23968900517536318,5.527652569993042,0.0,4.047975724344497
42,4,nnls,0.8733333333333333,0.037192842255349294,0.15470510432893594,0.007197210863597563,0.09681185628955612
123,4,perceptron,0.8333333333333334,0.1286434814933763,1.0526303449371823,0.0,0.4320590518721841
123,4,nnls,0.8733333333333333,0.04468497047513294,0.13774722228475414,0.010794416362742256,0.02612634484090039
7,4,perceptron,0.8866666666666667,0.6655123988393093,2.4349416506200363,0.3383923451263443,0.1982241629651771
7,4,nnls,0.9066666666666666,0.033205772934303684,0.1290117703770134,0.005968593816468493,0.04760020456114954
42,2,llm_2feat,0.8266666666666667,,,,
123,2,llm_2feat,0.74,,,,
7,2,llm_2feat,0.82,,,,
