provider,model,temperature,random_seed,n_shot,example_ordering,repetition,accuracy_llm_vs_expert,kappa_llm_vs_expert,f1_llm_vs_expert,accuracy_expert_vs_gt,accuracy_llm_vs_gt,n_disagreements,n_total_test,n_malformed_responses
openai,gpt-4o-mini,0.0,42,5,class0_first,0,0.7945205479452054,0.5924064768285874,0.7945205479452053,0.8533333333333334,0.8013698630136986,30,146,0
openai,gpt-4o-mini,0.0,42,5,class1_first,0,0.8356164383561644,0.671725688589095,0.8356164383561644,0.8533333333333334,0.7876712328767124,24,146,0
openai,gpt-4o-mini,0.0,42,5,shuffled,0,0.8493150684931506,0.6999813188866056,0.8493150684931507,0.8533333333333334,0.8561643835616438,22,146,0
openai,gpt-4o-mini,0.0,42,5,alternating,0,0.8493150684931506,0.7002053388090349,0.8493150684931507,0.8533333333333334,0.8561643835616438,22,146,0
openai,gpt-4o-mini,0.0,42,10,class0_first,0,0.9,0.7998366013071896,0.9,0.8533333333333334,0.7928571428571428,14,140,0
openai,gpt-4o-mini,0.0,42,10,class1_first,0,0.8928571428571429,0.7858017135862914,0.8928571428571428,0.8533333333333334,0.7857142857142857,15,140,0
openai,gpt-4o-mini,0.0,42,10,shuffled,0,0.8928571428571429,0.785976355483082,0.8928571428571428,0.8533333333333334,0.8142857142857143,15,140,0
openai,gpt-4o-mini,0.0,42,10,alternating,0,0.8785714285714286,0.7576374745417516,0.8785714285714287,0.8533333333333334,0.8,17,140,0
openai,gpt-4o-mini,0.0,42,20,class0_first,0,0.8846153846153846,0.768243403850725,0.8846153846153846,0.8533333333333334,0.7846153846153846,15,130,0
openai,gpt-4o-mini,0.0,42,20,class1_first,0,0.9076923076923077,0.8157335223245925,0.9076923076923077,0.8533333333333334,0.8076923076923077,12,130,0
openai,gpt-4o-mini,0.0,42,20,shuffled,0,0.8923076923076924,0.7852253953268822,0.8923076923076922,0.8533333333333334,0.7923076923076923,14,130,0
openai,gpt-4o-mini,0.0,42,20,alternating,0,0.9076923076923077,0.8160811129450601,0.9076923076923077,0.8533333333333334,0.8538461538461538,12,130,0
