problem,is_nonlinear,algorithm,n_features,fidelity_vs_llm,accuracy_vs_true,seed
A_B_C_lineares,False,perceptron,3,0.7866666666666666,,42
A_B_C_lineares,False,perceptron,4,0.86,,42
homem_mulher,True,perceptron,2,0.6285714285714286,0.1,42
homem_mulher,True,nnls,2,0.6428571428571429,0.14285714285714285,42
homem_mulher,True,perceptron,3,0.6,0.07142857142857142,42
homem_mulher,True,nnls,3,0.5428571428571428,0.21428571428571427,42
homem_mulher,True,perceptron,4,0.6714285714285714,0.17142857142857143,42
homem_mulher,True,nnls,4,0.7428571428571429,0.44285714285714284,42
homem_mulher,True,perceptron,2,0.5857142857142857,0.9,42
homem_mulher,True,nnls,2,0.5571428571428572,0.7857142857142857,42
homem_mulher,True,perceptron,3,0.5857142857142857,0.9,42
homem_mulher,True,nnls,3,0.5571428571428572,0.7857142857142857,42
homem_mulher,True,perceptron,4,0.5857142857142857,0.9,42
homem_mulher,True,nnls,4,0.6857142857142857,0.6857142857142857,42
meia_lua_seed42,True,perceptron,2,0.6857142857142857,0.5904761904761905,42
meia_lua_seed42,True,nnls,2,0.6857142857142857,0.5714285714285714,42
meia_lua_seed42,True,perceptron,3,0.7428571428571429,0.45714285714285713,42
meia_lua_seed42,True,nnls,3,0.8285714285714286,0.5428571428571428,42
meia_lua_seed42,True,perceptron,4,0.7523809523809524,0.6,42
meia_lua_seed42,True,nnls,4,0.7619047619047619,0.5904761904761905,42
