seed,n_features,algorithm,fidelidade,w0,w1,w2,w3
42,3,perceptron,0.8466666666666667,0.00046846608840108404,0.003202006748853407,0.0,
42,3,nnls,0.84,0.03405720379767276,0.15066686604472462,0.025494252986332698,
123,3,perceptron,0.7533333333333333,0.0,0.009124969603116088,0.0008678446893321866,
123,3,nnls,0.8733333333333333,0.045252476059315684,0.14717242356874274,0.015579178385228435,
7,3,perceptron,0.84,0.011514769129609262,0.14136131250384967,0.0,
7,3,nnls,0.86,0.036690433509480216,0.14259184533720096,0.014043363257021215,
42,4,perceptron,0.8466666666666667,0.12210971719378225,0.6766979977881696,0.0,0.414584407076855
42,4,nnls,0.86,0.03631013801013423,0.15402999864063202,0.0067117419582842066,0.08744624317874072
123,4,perceptron,0.8466666666666667,0.02013245213232102,0.14520958351405075,0.0,0.015516699734479344
123,4,nnls,0.8866666666666667,0.045131304219999294,0.1398688421603495,0.010671889760045778,0.02520459795794797
7,4,perceptron,0.9,0.3630416514314476,1.3284381312615707,0.01262267600177849,0.5762072938970293
7,4,nnls,0.92,0.03445357538577519,0.12816451299634024,0.006884789271116452,0.048389626796591506
42,2,llm_2feat,0.82,,,,
123,2,llm_2feat,0.8666666666666667,,,,
7,2,llm_2feat,0.86,,,,
