algorithm,provider,model,temperature,random_seed,n_shot_phase_bc,class_0,class_1,repetition,fidelity_problem_a,consistency_problem_b,kappa_problem_b,f1_problem_b,consistency_problem_c,kappa_problem_c,f1_problem_c,w_0,w_1,w_ratio,w_direction_0,w_direction_1,gamma,n_disagreements_b,n_disagreements_c
NNLS,openai,gpt-4o-mini,0.0,42,0,A,B,0,0.82,0.68,0.2920353982300885,0.6799999999999999,0.9,0.7938144329896908,0.8999999999999999,0.03548700021553359,0.1414251776767539,0.25092420457582076,0.24337921790086164,0.9699312121454619,0.0,32,10
NNLS,openai,gpt-4o-mini,0.0,123,0,A,B,0,0.8666666666666667,0.67,0.290627687016337,0.67,0.89,0.7727272727272727,0.8899999999999999,0.04668680758213801,0.14933692461221476,0.31262735390708146,0.2983857292092379,0.9544453659609183,0.0,33,11
NNLS,openai,gpt-4o-mini,0.0,7,0,A,B,0,0.8733333333333333,0.76,0.46595460614152195,0.76,0.84,0.65650493774152,0.8400000000000001,0.03805453361460144,0.14916151309871548,0.25512300608949207,0.24720481694941865,0.9689632492912228,0.0,24,16
