seed,n_features,algorithm,fidelidade,w0,w1,w2
42,3,perceptron,0.78,0.0,1.5656400533530872,0.6804732709331427
42,3,nnls,0.86,0.034546105439603375,0.1534313143924826,0.025588211090417843
42,3,lp,0.84,0.3333333333333333,0.3333333333333333,0.3333333333333333
42,2,llm_2feat,0.7866666666666666,,,
